audio|text_scribe
audio_files/Ind048_M_S_C_news_1556.wav|veteran perang afganistan
audio_files/Ind025_F_S_C_news_0831.wav|menyangkut kunjungan howard ke ugm
audio_files/Ind014_M_U_C_news_0482.wav|adalah kewenangan menkeu untuk mengetahui ada atau tidak sumbernya
audio_files/Ind044_M_J_C_news_1498.wav|ucap feisal
audio_files/Ind016_M_J_C_news_0584.wav|dirut pertamina baehaqi hakim dan kapolri jenderal dai bachtiar
audio_files/Ind005_F_S_C_news_0200.wav|akibatnya daerah-daerah aliran sungai dan danau kondisinya kian kritis
audio_files/Ind096_M_J_C_news_0015.wav|hal itu dapat dipertanggungjawabkan serta memenuhi persyaratan rencana kerja syarat
audio_files/Ind062_M_J_C_news_2018.wav|penghentian permusuhan ini bukan berdamai untuk berperang lagi
audio_files/Ind020_F_J_C_news_0719.wav|persaingan sehat
audio_files/Ind062_M_J_C_news_2118.wav|yoyo dan rukayah
audio_files/Ind077_M_J_C_news_2522.wav|rudolf pardede
audio_files/Ind010_F_S_C_news_0315.wav|ia disebut sebagai pengkhianat bangsa
audio_files/Ind091_F_S_C_news_3035.wav|ical mengatakan
audio_files/Ind021_M_J_C_news_0719.wav|persaingan sehat
audio_files/Ind096_M_J_C_news_3149.wav|ambong optimis
audio_files/Ind041_F_U_C_news_1333.wav|ucap jonny
audio_files/Ind060_M_U_C_news_2012.wav|atau verbalisme
audio_files/Ind089_M_U_C_news_2917.wav|tegas kwik
audio_files/Ind039_F_U_C_news_1296.wav|mulai jumat
audio_files/Ind083_M_B_C_news_2708.wav|masih syukur para penumpang tidak terkena peluru
audio_files/Ind061_F_S_C_news_2038.wav|keluh sri
audio_files/Ind023_M_J_C_news_0728.wav|pengetahuan tentang psikotropika
audio_files/Ind009_F_U_C_news_0351.wav|terdapat belokan arus sungai yang tajam
audio_files/Ind001_F_B_C_news_0033.wav|tambah jiang zemin
audio_files/Ind049_M_S_C_news_1679.wav|di cijantung
audio_files/Ind014_M_U_C_news_0472.wav|anggota mpr yang menolak dan abstain atas ketetapan tersebut
audio_files/Ind033_F_U_C_news_1147.wav|kata seorang fans oranye yang gagal menjual tiketnya
audio_files/Ind068_M_S_C_news_2295.wav|oh nggak
audio_files/Ind077_M_J_C_news_2511.wav|perlu konsensus kolektif negara islam gunakan minyak sebagai senjata penekan
audio_files/Ind076_F_B_C_news_2502.wav|ia pun mencontohkan soal imej publik
audio_files/Ind044_M_J_C_news_1430.wav|otomatis status tahanan rumah bob batal
audio_files/Ind050_F_S_C_news_1657.wav|banyak orang yang memakai wig tiga-empat jam saja bisa pusing
audio_files/Ind025_F_S_C_news_0828.wav|ledakan bom hantui banda aceh
audio_files/Ind042_M_U_C_news_1370.wav|jika abdurrahman wahid turun
audio_files/Ind096_M_J_C_news_3180.wav|hasil laut dan bumi maluku umumnya
audio_files/Ind006_M_J_C_news_0204.wav|aparat juga membubarkan konvoi yang menggunakan truk dan sepeda motor
audio_files/Ind035_M_J_C_news_1146.wav|rudolph giuliani
audio_files/Ind048_M_S_C_news_1591.wav|dalam kasus-kasus korupsi bulog goro batara sakti
audio_files/Ind030_F_U_C_news_1019.wav|tidak bisa dianggap remeh
audio_files/Ind051_M_S_C_news_1750.wav|sebagai yesus kristus yang terkapar di aspal
audio_files/Ind017_F_S_C_news_0592.wav|siaran radio australia yang semula bisa diterima tiba-tiba menghilang
audio_files/Ind047_M_J_C_news_1607.wav|pak shafwan adalah guru
audio_files/Ind097_M_J_C_news_0018.wav|kabag humas pemkot jambi
audio_files/Ind008_F_U_C_news_0281.wav|mengaku bertemu becker di sebuah klub model london
audio_files/Ind030_F_U_C_news_1038.wav|rakyat brunei akan tetap mempertahankan sistem nilai yang baik
audio_files/Ind061_F_S_C_news_2064.wav|kalau itu tidak dibayar tunai pada tiap jatuh temponya
audio_files/Ind034_F_U_C_news_1111.wav|onno melihat
audio_files/Ind075_F_S_C_news_2498.wav|ia jatuh cinta kepada hesti adik ade achmad
audio_files/Ind007_M_J_C_news_0240.wav|ekonom sri mulyani indrawati
audio_files/Ind099_M_J_C_news_0076.wav|dalam aksi damainya
audio_files/Ind010_F_S_C_news_0335.wav|menyukai hidup
audio_files/Ind100_M_B_C_news_0101.wav|saya berani jamin tidak akan pernah ada jendral mbalelo
audio_files/Ind100_M_B_C_news_0109.wav|masyarakat akan terus skeptis
audio_files/Ind082_M_B_C_news_2711.wav|karena masih ada yang belum wujud
audio_files/Ind067_M_S_C_news_2274.wav|gus dur sudah legowo pada realitas politik
audio_files/Ind062_M_J_C_news_2061.wav|ataupun di mindanao antara orang-orang moro dengan orang-orang filipina
audio_files/Ind011_F_U_C_news_0432.wav|ujar syaukani
audio_files/Ind035_M_J_C_news_1147.wav|kata seorang fans oranye yang gagal menjual tiketnya
audio_files/Ind037_F_B_C_news_1227.wav|rendahnya integritas para pegawai bank
audio_files/Ind086_M_S_C_news_2906.wav|saya berharap pasar meresponsnya positif
audio_files/Ind036_F_S_C_news_1235.wav|adapun terhadap tersangka buloggate lainnya
audio_files/Ind035_M_J_C_news_1130.wav|membidangi hukum
audio_files/Ind037_F_B_C_news_1281.wav|tegas zulkifli
audio_files/Ind053_M_S_C_news_1725.wav|letkol wisnu yang dipagari kawat itu diawasi dengan ketat
audio_files/Ind092_M_S_C_news_3108.wav|yang disebutkan sebagai enam program kabinet gotong royong
audio_files/Ind062_M_J_C_news_2059.wav|beda antara dokumen milik kwik dan putu
audio_files/Ind002_M_S_C_news_0087.wav|sebelum fajar menyingsing
audio_files/Ind086_M_S_C_news_2846.wav|ujar wayn menanggapi keberhasilannya menyamakan kedudukan
audio_files/Ind036_F_S_C_news_1251.wav|menurut kiai taufiq
audio_files/Ind037_F_B_C_news_1287.wav|saya pengikut mbah hasyim dan soekarno
audio_files/Ind076_F_B_C_news_2504.wav|usai jumpa pers hari rabu
audio_files/Ind055_F_J_C_news_1862.wav|terutama soal pakai wig
audio_files/Ind021_M_J_C_news_0687.wav|kata juwono
audio_files/Ind025_F_S_C_news_0893.wav|sementara kalau tyasno yang naik
audio_files/Ind027_F_S_C_news_0873.wav|mungkin ada oknum bea cukai yang terlibat
audio_files/Ind007_M_J_C_news_0298.wav|menlu ri siap jadi fasilitator dialog korea
audio_files/Ind079_F_S_C_news_2636.wav|imbuh achmad bagja
audio_files/Ind021_M_J_C_news_0678.wav|atau kristen
audio_files/Ind008_F_U_C_news_0317.wav|namun kali ini disela-sela suara setuju itu terdengar teriakan-teriakan hei
audio_files/Ind076_F_B_C_news_2511.wav|perlu konsensus kolektif negara islam gunakan minyak sebagai senjata penekan
audio_files/Ind024_F_S_C_news_0868.wav|bahwa film itu kurang detail seperti bukunya
audio_files/Ind073_F_S_C_news_2438.wav|namun akhirnya nur mengaku khilaf
audio_files/Ind063_M_J_C_news_2080.wav|imam khawatir
audio_files/Ind059_M_S_C_news_1987.wav|darmansyah ayin
audio_files/Ind033_F_U_C_news_1142.wav|sebagai ahli elektro
audio_files/Ind020_F_J_C_news_0709.wav|dari ucok
audio_files/Ind036_F_S_C_news_1233.wav|kata moetojib dengan suara bergetar
audio_files/Ind030_F_U_C_news_0986.wav|lha gimana
audio_files/Ind062_M_J_C_news_2066.wav|ucap slamet
audio_files/Ind014_M_U_C_news_0485.wav|tegas yozi
audio_files/Ind035_M_J_C_news_1145.wav|berapa kurs yang akan dipakai dalam penjualan
audio_files/Ind082_M_B_C_news_2698.wav|australia dan timor loro sae
audio_files/Ind028_F_J_C_news_0935.wav|di dusun mlandangan
audio_files/Ind007_M_J_C_news_0269.wav|ini yang disebut pseudodemokrasi
audio_files/Ind049_M_S_C_news_1634.wav|menurut dia konflik globalisasi yang pertama
audio_files/Ind067_M_S_C_news_2209.wav|rully chaerul azwar
audio_files/Ind008_F_U_C_news_0261.wav|jenderal mohammed fahim
audio_files/Ind019_F_U_C_news_0655.wav|ledakan di maluku bukan ukuran upaya damai gagal
audio_files/Ind045_F_U_C_news_1469.wav|bertuliskan huruf cina
audio_files/Ind033_F_U_C_news_1089.wav|contohnya di bosnia
audio_files/Ind008_F_U_C_news_0266.wav|bayu air
audio_files/Ind081_M_J_C_news_2745.wav|sebagai ancaman utama bagi ekonomi as
audio_files/Ind011_F_U_C_news_0375.wav|klub gudang garam
audio_files/Ind008_F_U_C_news_0274.wav|perusahan-perusahaan raksasa di negeri tersebut berani menghadapi krisis sefrontal mungkin
audio_files/Ind058_M_S_C_news_1898.wav|yang diketuai yusuf syakir
audio_files/Ind058_M_S_C_news_1881.wav|kemudian muncul istilah lagu cengeng
audio_files/Ind031_M_J_C_news_1021.wav|usai unjuk rasa menentang ruu pkb
audio_files/Ind052_M_S_C_news_1727.wav|seperti dimaksud presiden
audio_files/Ind056_M_S_C_news_1851.wav|dalam skenario yang terburuk
audio_files/Ind021_M_J_C_news_0685.wav|mengenai mekanisme voting
audio_files/Ind093_M_S_C_news_3114.wav|hubungan dengan imf harus selesai november tahun ini
audio_files/Ind075_F_S_C_news_2535.wav|bukan hanya tekad gus dur
audio_files/Ind054_M_J_C_news_1830.wav|ngurah santosa
audio_files/Ind055_F_J_C_news_1792.wav|mirip warung nasi sunda
audio_files/Ind027_F_S_C_news_0940.wav|sesuai janjinya
audio_files/Ind021_M_J_C_news_0711.wav|termasuk yerussalem
audio_files/Ind016_M_J_C_news_0540.wav|namun malah mengacaukan
audio_files/Ind082_M_B_C_news_2689.wav|depkeh dan ham
audio_files/Ind039_F_U_C_news_1312.wav|di tengah gebyar pop
audio_files/Ind042_M_U_C_news_1434.wav|ponco tidak menjawab dengan tegas
audio_files/Ind096_M_J_C_news_3162.wav|meski orang baru habib cukup dikenal sebagai ulama
audio_files/Ind045_F_U_C_news_1474.wav|para calon tersebut masih dalam taraf klarifikasi
audio_files/Ind079_F_S_C_news_2586.wav|tapi zeldy yakin
audio_files/Ind005_F_S_C_news_0189.wav|kata gonzales
audio_files/Ind072_M_J_C_news_2450.wav|sejak kredit cair
audio_files/Ind091_F_S_C_news_3003.wav|aberson marley sihaloho
audio_files/Ind009_F_U_C_news_0364.wav|rahardjo widi
audio_files/Ind002_M_S_C_news_0128.wav|yusuf zakir
audio_files/Ind054_M_J_C_news_1808.wav|mereka masih bertele-tele nyinyir tak tentu arah
audio_files/Ind066_F_J_C_news_2238.wav|theo syafeii
audio_files/Ind100_M_B_C_news_0180.wav|formula ini masih memakai empat parameter
audio_files/Ind059_M_S_C_news_1927.wav|atau gerak
audio_files/Ind004_F_S_C_news_0140.wav|ujar ayip
audio_files/Ind055_F_J_C_news_1845.wav|beban bunga atas utang pokok grup
audio_files/Ind054_M_J_C_news_1752.wav|syiah kuala sendiri sekarang dihadapkan pada permasalahan pendidikan katanya
audio_files/Ind033_F_U_C_news_1108.wav|sebenarnya tommy ingin turun tangan sendiri menghabisi syafiuddin
audio_files/Ind013_M_U_C_news_0488.wav|jumlah rute
audio_files/Ind006_M_J_C_news_0274.wav|perusahan-perusahaan raksasa di negeri tersebut berani menghadapi krisis sefrontal mungkin
audio_files/Ind082_M_B_C_news_2774.wav|josef wenda
audio_files/Ind099_M_J_C_news_0154.wav|urai kesowo
audio_files/Ind016_M_J_C_news_0529.wav|kami percaya di bawah kyai gus dur
audio_files/Ind038_F_U_C_news_1301.wav|tapi hal ini dibantah sofyan tsauri
audio_files/Ind028_F_J_C_news_0891.wav|ketua fraksi partai golkar dpr syamsul muarif mengakui
audio_files/Ind058_M_S_C_news_1987.wav|darmansyah ayin
audio_files/Ind067_M_S_C_news_2224.wav|selesai mandi itulah saya di ajak oleh acung ngerjain taksi
audio_files/Ind009_F_U_C_news_0342.wav|kata menkeu kepada wartawan
audio_files/Ind079_F_S_C_news_2663.wav|najib nawir
audio_files/Ind068_M_S_C_news_2278.wav|pandangan ini sejalan dengan pendapat mantan mendikbud fuad hassan
audio_files/Ind083_M_B_C_news_2774.wav|josef wenda
audio_files/Ind068_M_S_C_news_2298.wav|florida itu
audio_files/Ind014_M_U_C_news_0520.wav|kacanya pecah
audio_files/Ind050_F_S_C_news_1627.wav|sikap taufiq ismail tentunya belum berubah hingga saat ini
audio_files/Ind064_F_U_C_news_2138.wav|contoh lain
audio_files/Ind005_F_S_C_news_0138.wav|biografi para pemimpinnya
audio_files/Ind065_M_U_C_news_2158.wav|pemerintah harus melakukan langkah-langkah ofensif melalui ekspansi apbn
audio_files/Ind058_M_S_C_news_1940.wav|salah satunya dialami oleh pabrik sepatu merek fila
audio_files/Ind019_F_U_C_news_0696.wav|sebagai saudara
audio_files/Ind064_F_U_C_news_2146.wav|saya juga kaget kayaknya kok serius banget gitu
audio_files/Ind010_F_S_C_news_0395.wav|titik supportnya
audio_files/Ind064_F_U_C_news_2130.wav|rakyat ikuti pemilu zimbabwe
audio_files/Ind099_M_J_C_news_0093.wav|yang merupakan arus dua arah dari arah ciledug maupun tangerang
audio_files/Ind040_F_J_C_news_1294.wav|menurut komandan kompi ipda sinaga
audio_files/Ind007_M_J_C_news_0290.wav|bom waktu utang luar negeri
audio_files/Ind057_M_J_C_news_1934.wav|urai riswandha
audio_files/Ind028_F_J_C_news_0920.wav|pembentukan pansus bulog sudah kehilangan momentum dan relevansi
audio_files/Ind087_M_J_C_news_2868.wav|karena memang bajaj berbeda dengan kancil
audio_files/Ind058_M_S_C_news_1967.wav|semua kereta di belakang lokomotif remnya tidak berfungsi
audio_files/Ind019_F_U_C_news_0663.wav|relatif stabil
audio_files/Ind074_M_J_C_news_2433.wav|kami cukup yakin
audio_files/Ind033_F_U_C_news_1090.wav|telah muncul orde baru jilid dua
audio_files/Ind066_F_J_C_news_2191.wav|menambah semangat pemain-pemain persikabo untuk terus melakukan serangan
audio_files/Ind015_F_S_C_news_0535.wav|sejak itulah alien secara berkala memberikan bayi-bayi untuk diasuh
audio_files/Ind015_F_S_C_news_0498.wav|kue ekonomi tidak dibagi secara adil
audio_files/Ind016_M_J_C_news_0519.wav|penyanyi hetty koes endang
audio_files/Ind073_F_S_C_news_2466.wav|menurut gubernur dan ketua dprd enam daerah tersebut
audio_files/Ind048_M_S_C_news_1568.wav|kini kaleb masih kritis di rs herna medan
audio_files/Ind017_F_S_C_news_0573.wav|melindungi jiwa
audio_files/Ind036_F_S_C_news_1170.wav|menyadari bahwa bangau adalah korban kecelakaan yang sudah dimakamkan
audio_files/Ind037_F_B_C_news_1291.wav|amar makruf nahi mungkar dan sebagainya
audio_files/Ind073_F_S_C_news_2465.wav|rejim orba
audio_files/Ind046_F_S_C_news_1542.wav|tentu ada konsekwensinya
audio_files/Ind084_M_B_C_news_2765.wav|lembaga adat minangkabau protes acara tvri
audio_files/Ind079_F_S_C_news_2635.wav|atau sewa
audio_files/Ind032_M_S_C_news_1024.wav|sebagai fungsi kontrol
audio_files/Ind072_M_J_C_news_2438.wav|namun akhirnya nur mengaku khilaf
audio_files/Ind085_M_J_C_news_2842.wav|hidup cuma sepotong waktu
audio_files/Ind075_F_S_C_news_2475.wav|saling lempar bom molotov pun terjadi dalam jarak dekat
audio_files/Ind066_F_J_C_news_2182.wav|pakai nasi dong
audio_files/Ind100_M_B_C_news_0137.wav|kalau nilainya turun
audio_files/Ind021_M_J_C_news_0751.wav|ujar fajri
audio_files/Ind084_M_B_C_news_2803.wav|rachbini melihat
audio_files/Ind037_F_B_C_news_1252.wav|saya khawatir
audio_files/Ind082_M_B_C_news_2722.wav|ia mengatakan bahwa kapolwiltabes hanya mengalami luka ringan ndak apa-apa
audio_files/Ind028_F_J_C_news_0939.wav|yang abstain
audio_files/Ind019_F_U_C_news_0667.wav|dalam usia yang uzur itu
audio_files/Ind095_M_S_C_news_3104.wav|belasan nenek-nenek menyuguhkan tarian hawaii
audio_files/Ind083_M_B_C_news_2763.wav|katanya menyindir
audio_files/Ind033_F_U_C_news_1112.wav|atau corat-coret di spanduk dan tembok
audio_files/Ind046_F_S_C_news_1518.wav|taruh kata seperti penampilan penyanyi chrisye
audio_files/Ind008_F_U_C_news_0276.wav|menko ekuin
audio_files/Ind048_M_S_C_news_1645.wav|labil kritis
audio_files/Ind079_F_S_C_news_2661.wav|selain ikhlas
audio_files/Ind043_F_U_C_news_1395.wav|sehingga sering menjadi arena konvoi bagi kawula muda setempat
audio_files/Ind030_F_U_C_news_1022.wav|kalau minta tarif naik
audio_files/Ind001_F_B_C_news_0092.wav|kalau terlampau kendor
audio_files/Ind100_M_B_C_news_0106.wav|bank dalam penyehatan
audio_files/Ind011_F_U_C_news_0332.wav|kyai tapa
audio_files/Ind086_M_S_C_news_2824.wav|fragmentasi sosial
audio_files/Ind003_M_U_C_news_0086.wav|sambung ichram
audio_files/Ind079_F_S_C_news_2589.wav|staf humas depnaker
audio_files/Ind010_F_S_C_news_0302.wav|sheikh ahmed yassin
audio_files/Ind024_F_S_C_news_0839.wav|mobil hebat
audio_files/Ind049_M_S_C_news_1671.wav|edgar davids
audio_files/Ind097_M_J_C_news_0077.wav|dan itu adalah china petroleum
audio_files/Ind094_M_S_C_news_3098.wav|keduanya yang dikenal sebagai ogoh-ogoh itu akan diperlakukan sama dibakar
audio_files/Ind050_F_S_C_news_1622.wav|yang jelas sebagai anggota dewan sutrisno cukup vokal
audio_files/Ind090_M_B_C_news_3031.wav|yacob tobing
audio_files/Ind072_M_J_C_news_2385.wav|aku dulu yang lebih nyinyir mengkritik soeharto dibanding mereka
audio_files/Ind034_F_U_C_news_1173.wav|dan wulan guritno
audio_files/Ind049_M_S_C_news_1653.wav|dan gudang dwipa
audio_files/Ind066_F_J_C_news_2249.wav|mereka mulai khawatir
audio_files/Ind084_M_B_C_news_2769.wav|tertib sosial
audio_files/Ind040_F_J_C_news_1387.wav|dinilai aziz lebih baik
audio_files/Ind047_M_J_C_news_1623.wav|jadi masyarakat tidak perlu panik karena stok bulog cukup
audio_files/Ind042_M_U_C_news_1355.wav|marwah daud jenguk akbar
audio_files/Ind049_M_S_C_news_1594.wav|ahmad taher
audio_files/Ind006_M_J_C_news_0252.wav|maupun penyuluhan
audio_files/Ind017_F_S_C_news_0594.wav|warga lebaksiu
audio_files/Ind093_M_S_C_news_3071.wav|dan belgia
audio_files/Ind012_M_J_C_news_0440.wav|hamzah haz
audio_files/Ind025_F_S_C_news_0842.wav|roy david lumbun
audio_files/Ind086_M_S_C_news_2844.wav|kalau australia mau cuci tangan
audio_files/Ind072_M_J_C_news_2383.wav|mengapa kau culik anak kami
audio_files/Ind034_F_U_C_news_1182.wav|kalau iya kenapa tidak ditangkap sendiri
audio_files/Ind023_M_J_C_news_0833.wav|indeks syariah
audio_files/Ind073_F_S_C_news_2444.wav|alamsyah hanafiah
audio_files/Ind038_F_U_C_news_1233.wav|kata moetojib dengan suara bergetar
audio_files/Ind089_M_U_C_news_2938.wav|sampai yang lainnya
audio_files/Ind062_M_J_C_news_2015.wav|sehingga penyok
audio_files/Ind022_M_U_C_news_0782.wav|hei jangan lari
audio_files/Ind045_F_U_C_news_1463.wav|khususnya polusi asap knalpot kendaraan bermotor
audio_files/Ind018_F_S_C_news_0624.wav|adi solichin
audio_files/Ind039_F_U_C_news_1262.wav|gelombang tsunami biasanya terjadi beberapa menit setelah gempa utama
audio_files/Ind079_F_S_C_news_2625.wav|jelas syifa
audio_files/Ind065_M_U_C_news_2166.wav|meneg pp
audio_files/Ind092_M_S_C_news_3077.wav|polres jakarta pusat menyerahkan enam warga jerman ke imigrasi
audio_files/Ind058_M_S_C_news_1891.wav|negara maju bereaksi atas penolakan as ke protokol kyoto
audio_files/Ind020_F_J_C_news_0697.wav|menyucikan bumi siliwangi
audio_files/Ind003_M_U_C_news_0153.wav|kecuali roda empat terdapat pula konvoi kendaraan roda dua
audio_files/Ind045_F_U_C_news_1466.wav|kini mereka tengah menyocokkan data
audio_files/Ind015_F_S_C_news_0527.wav|widodo enggan menjawab
audio_files/Ind064_F_U_C_news_2089.wav|perahu-perahu itu memang sering digunakan mahasiswa untuk alat transportasi
audio_files/Ind010_F_S_C_news_0301.wav|memakai celana panjang serta menghiasi kepalanya dengan peci hitam
audio_files/Ind092_M_S_C_news_3045.wav|samping hotel amboina
audio_files/Ind098_M_B_C_news_0079.wav|ketahuan bawa ajinomoto dua pedagang bakso nyaris dikeroyok
audio_files/Ind023_M_J_C_news_0819.wav|tyasno sudarto
audio_files/Ind036_F_S_C_news_1257.wav|ia kemudian dibawa ke rsud abepura
audio_files/Ind097_M_J_C_news_3168.wav|ihsg juga menguat tipis
audio_files/Ind035_M_J_C_news_1150.wav|roy berargumen
audio_files/Ind009_F_U_C_news_0320.wav|pasca aksi pelemparan itu
audio_files/Ind036_F_S_C_news_1179.wav|sim mirip-mirip zaldy
audio_files/Ind031_M_J_C_news_1019.wav|tidak bisa dianggap remeh
audio_files/Ind067_M_S_C_news_2226.wav|kata sekretaris fraksi reformasi ahmad farhan seusai voting
audio_files/Ind077_M_J_C_news_2580.wav|lalu mereka ceburkan ke sumur
audio_files/Ind058_M_S_C_news_1927.wav|atau gerak
audio_files/Ind049_M_S_C_news_1666.wav|operet idul fitri itu diberi judul eyang putri
audio_files/Ind027_F_S_C_news_0884.wav|terowongan gaza runtuh tiga orang tewas
audio_files/Ind033_F_U_C_news_1101.wav|ternyata kendaraan itu disewa oleh beberapa orang
audio_files/Ind026_F_S_C_news_0852.wav|yang udah pasti
audio_files/Ind004_F_S_C_news_0188.wav|tetangga enjam tampak tak gentar menghadapi lebatnya hujan dan petir
audio_files/Ind089_M_U_C_news_2925.wav|bantuan tersebut tidak terikat dengan proyek-proyek khusus
audio_files/Ind044_M_J_C_news_1513.wav|dengan alasan pln sedang pailit
audio_files/Ind073_F_S_C_news_2473.wav|posisi howard tetap stabil sampai kini
audio_files/Ind054_M_J_C_news_1819.wav|yakni golok dan mandau
audio_files/Ind044_M_J_C_news_1509.wav|wahai anggota dewan
audio_files/Ind097_M_J_C_news_0078.wav|mereka melanjutkan perjalanan ke arah blok-m
audio_files/Ind074_M_J_C_news_2512.wav|masih menurut achmad baasyir juga sedikit khawatir dengan amrozi
audio_files/Ind054_M_J_C_news_1779.wav|urai dia
audio_files/Ind027_F_S_C_news_0898.wav|usamah bersyukur atas serangan ke wtc dan pentagon
audio_files/Ind092_M_S_C_news_3003.wav|aberson marley sihaloho
audio_files/Ind039_F_U_C_news_1323.wav|vonis terhadap hakim agung zendrato ditunda
audio_files/Ind086_M_S_C_news_2860.wav|direktur utama bej erry firmansyah
audio_files/Ind046_F_S_C_news_1581.wav|warga ciledug tangerang
audio_files/Ind091_F_S_C_news_3048.wav|jalan dieng
audio_files/Ind086_M_S_C_news_2871.wav|ahmad zaini
audio_files/Ind093_M_S_C_news_3107.wav|kata jembadi
audio_files/Ind023_M_J_C_news_0783.wav|tanpa dipotong utang
audio_files/Ind076_F_B_C_news_2521.wav|kasus bom gedung bej ini juga sempat ditunda dua kali
audio_files/Ind072_M_J_C_news_2407.wav|rizal ramli kalau jadi kabulog boleh-boleh saja
audio_files/Ind018_F_S_C_news_0598.wav|teriak josis siswoyo
audio_files/Ind074_M_J_C_news_2441.wav|bej cabut suspensi indah kiat
audio_files/Ind015_F_S_C_news_0511.wav|penderita leptospirosis bisa klaim biaya pengobatan
audio_files/Ind051_M_S_C_news_1667.wav|dan suyitno
audio_files/Ind080_M_S_C_news_2618.wav|diiringi lagu hai tanahku papua
audio_files/Ind023_M_J_C_news_0808.wav|kendati begitu puji enggan menyebut siapa tersangka yang dimaksudnya itu
audio_files/Ind079_F_S_C_news_2670.wav|kendaraan besar diharapkan melalui jalan alternatif jika menuju banyuwangi
audio_files/Ind014_M_U_C_news_0509.wav|urai basri
audio_files/Ind028_F_J_C_news_0990.wav|kepala seksi sub wilayah konservasi sumber daya alam kepulauan riau
audio_files/Ind055_F_J_C_news_1846.wav|atau cina
audio_files/Ind040_F_J_C_news_1323.wav|vonis terhadap hakim agung zendrato ditunda
audio_files/Ind021_M_J_C_news_0735.wav|klaim kan boleh saja
audio_files/Ind045_F_U_C_news_1457.wav|demikian ucap bush
audio_files/Ind006_M_J_C_news_0181.wav|artidjo alkotsar
audio_files/Ind015_F_S_C_news_0477.wav|ayip syafruddin
audio_files/Ind047_M_J_C_news_1529.wav|saya imbau kepada jajaran partai apalagi kepada pak baramuli
audio_files/Ind091_F_S_C_news_3005.wav|terkadang perwira belum ngomong sudah diantisipasi ngomong ini
audio_files/Ind011_F_U_C_news_0394.wav|papar tengku syaiful ahmad yang berasal dari aceh
audio_files/Ind088_M_S_C_news_2950.wav|sebab pada malam yang sama
audio_files/Ind091_F_S_C_news_3026.wav|dan kasogi
audio_files/Ind033_F_U_C_news_1111.wav|onno melihat
audio_files/Ind083_M_B_C_news_2748.wav|itu memang perjuangan yang ingin bapak wujudkan
audio_files/Ind027_F_S_C_news_0930.wav|kalau air sungai kahayan meluap
